MSOA,index-of-transport-accesibility,chargepoints
E02001611,0.213,0.00
E02001612,0.261,0.00
E02001613,0.127,0.00
E02001614,0.144,0.00
E02001615,0.189,0.01
E02001616,0.122,0.00
E02001617,0.161,0.00
E02001618,0.136,0.00
E02001619,0.124,0.02
E02001620,0.142,0.00
E02001621,0.107,0.00
E02001622,0.119,0.00
E02001623,0.11,0.00
E02001624,0.097,0.00
E02001625,0.113,0.00
E02001626,0.112,0.00
E02001627,0.124,0.02
E02001628,0.353,0.01
E02001629,0.105,0.00
E02001630,0.104,0.00
E02001631,0.099,0.00
E02001632,0.094,0.02
E02001633,0.131,0.00
E02001634,0.1,0.00
E02001635,0.117,0.00
E02001636,0.093,0.01
E02001637,0.074,0.01
E02001638,0.089,0.00
E02001639,0.091,0.00
E02001640,0.094,0.00
E02001642,0.199,0.00
E02001643,0.121,0.00
E02001646,0.097,0.01
E02001647,0.132,0.00
E02001648,0.127,0.00
E02001649,0.112,0.00
E02001650,0.081,0.00
E02001651,0.143,0.00
E02001652,0.09,0.00
E02001653,0.081,0.00
E02001654,0.097,0.00
E02001655,0.124,0.00
E02001656,0.117,0.00
E02001657,0.134,0.00
E02001658,0.099,0.00
E02001659,0.132,0.00
E02001660,0.107,0.00
E02001661,0.089,0.01
E02001662,0.122,0.00
E02001663,0.084,0.01
E02001664,0.114,0.00
E02001665,0.137,0.00
E02001666,0.129,0.01
E02001669,0.097,0.00
E02001670,0.064,0.00
E02001671,0.113,0.02
E02001672,0.113,0.00
E02001673,0.085,0.00
E02001674,0.065,0.01
E02001675,0.09,0.00
E02001676,0.091,0.00
E02001678,0.134,0.00
E02001679,0.126,0.00
E02001680,0.158,0.00
E02001681,0.097,0.00
E02006803,0.106,0.00
E02006843,0.081,0.00
E02006844,0,0.00
E02006868,0.078,0.00
E02006869,0.085,0.00
