E02003987	Longtown & Border
E02003988	Brampton & Irthing
E02003989	Carlisle Belah
E02003990	Kingmoor
E02003991	Belle Vue & Burgh
E02003992	Central Carlisle
E02003993	Wetheral
E02003994	Longsowerby & Caldewgate
E02003995	Raffles & Morton
E02003996	Denton Holme & Harraby Green
E02003997	Botcherby & Harraby
E02003998	Currock & Upperby
E02003999	Garlands & Dalston
