E02004118	Hatton & Burnaston
E02004119	Hilton & Etwall
E02004120	Willington North
E02004121	Aston-on-Trent & Barrow-upon-Trent
E02004122	Willington South & Repton
E02004123	Melbourne
E02004124	Swadlincote North
E02004125	Swadlincote West
E02004126	Swadlincote Central
E02004128	Castle Gresley
E02006919	Swadlincote South
E02006920	Swadlincote East
