MSOA,index-of-transport-accesibility,chargepoints
E02000526,0,0.20
E02000528,0,0.21
E02000529,0,0.03
E02000530,0,0.05
E02000531,0,0.06
E02000532,0,0.22
E02000533,0,0.10
E02000534,0,0.01
E02000535,0,0.03
E02000536,0,0.03
E02000537,0,0.04
E02000538,0,0.03
E02000539,0,0.06
E02000540,0,0.00
E02000541,0,0.04
E02000542,0,0.04
E02000543,0,0.07
E02000544,0,0.02
E02000545,0,0.03
E02000546,0,0.00
E02000547,0,0.02
E02000548,0,0.02
E02000549,0,0.02
E02000550,0,0.05
E02000551,0,0.03
E02000552,0,0.00
E02000553,0,0.03
E02006792,0,0.11
