E02004636	Longlevens
E02004637	Kingsholm & Wotton
E02004638	Elmbridge
E02004639	Central Gloucester & Hempsted
E02004640	Barton
E02004641	Hucclecote
E02004642	Coney Hill
E02004643	Tredworth
E02004644	Podsmead & Linden
E02004645	Abbeymead & Abbeydale
E02004646	Matson & Robinswood
E02004647	Tuffley
E02004648	Lower Tuffley
E02004649	Quedgeley North
E02004650	Quedgeley South
