MSOA,index-of-transport-accesibility,chargepoints
E02002827,0,0.00
E02002828,0,0.04
E02002829,0,0.00
E02002830,0,0.01
E02002831,0,0.00
E02002832,0,0.00
E02002833,0,0.00
E02002834,0,0.03
E02002835,0,0.01
E02002836,0,0.00
E02002837,0,0.00
E02002838,0,0.00
E02002839,0,0.00
E02002842,0,0.00
E02002843,0,0.00
E02002844,0,0.01
E02002845,0,0.00
E02002846,0,0.00
E02002847,0,0.00
E02002848,0,0.00
E02002849,0,0.03
E02002851,0,0.00
E02002852,0,0.03
E02002853,0,0.00
E02002854,0,0.00
E02002855,0,0.00
E02002856,0,0.12
E02002857,0,0.01
E02002858,0,0.00
E02002860,0,0.00
E02002861,0,0.00
E02002862,0,0.00
E02006815,0,0.00
E02006817,0,0.00
E02006819,0,0.00
E02006850,0,0.00
E02006851,0,0.10
