MSOA,index-of-transport-accesibility,chargepoints
E02006634,0,0.00
E02006635,0,0.01
E02006636,0,0.00
E02006637,0,0.00
E02006638,0,0.01
E02006639,0,0.00
E02006640,0,0.00
E02006641,0,0.00
E02006642,0,0.01
E02006643,0,0.00
E02006644,0,0.00
E02006645,0,0.00
E02006646,0,0.00
E02006647,0,0.00
E02006648,0,0.00
E02006649,0,0.01
E02006650,0,0.00
E02006651,0,0.01
E02006652,0,0.00
E02006653,0,0.01
E02006654,0,0.02
E02006655,0,0.02
E02006656,0,0.00
E02006657,0,0.00
E02006658,0,0.00
E02006659,0,0.01
E02006660,0,0.02
E02006661,0,0.00
E02006662,0,0.00
E02006663,0,0.03
E02006664,0,0.00
E02006665,0,0.00
E02006666,0,0.01
E02006667,0,0.00
E02006668,0,0.02
E02006669,0,0.00
E02006670,0,0.01
E02006671,0,0.02
E02006672,0,0.01
E02006673,0,0.00
E02006674,0,0.01
E02006675,0,0.00
E02006676,0,0.01
E02006677,0,0.00
E02006678,0,0.00
E02006679,0,0.00
E02006680,0,0.01
E02006681,0,0.00
E02006682,0,0.01
E02006683,0,0.00
E02006684,0,0.03
E02006685,0,0.01
E02006686,0,0.00
E02006687,0,0.01
E02006688,0,0.00
E02006689,0,0.01
E02006690,0,0.01
E02006691,0,0.01
E02006692,0,0.00
E02006693,0,0.00
E02006694,0,0.01
E02006695,0,0.02
