MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
W02000284,"Dowlais",0,91.0,1381.68,8.042,2,0.00,11026.79,0.00
W02000285,"Cefncoedycymer",0,191.0,1443.39,6.692,0,0.00,56.39,2882.97
W02000286,"Gelli-deg & Town",0,91.0,4763.64,11.465,4,0.00,6591.50,0.00
W02000287,"Pentre-bach & Mountain Hare",0,91.0,984.84,6.730,0,0.00,0.00,0.00
W02000288,"Merthyr Vale",0,87.0,1007.20,7.888,0,0.00,0.00,0.00
W02000289,"Treharris & Trelewis",0,30.0,225.90,10.882,0,0.00,0.00,0.00
W02000415,"Gurnos",0,91.0,1272.70,5.256,0,0.00,49.85,0.00
