MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02006604,"East Grinstead Central & North",0,327.0,2912.11,100.198,5,0,0.00,10238.55,4629.17,2.94
E02006605,"Copthorne & Turners Hill",0,865.0,3619.43,12.569,0,0,0.00,0.00,0.00,0
E02006606,"East Grinstead East",0,257.0,690.12,17.460,0,0,0.00,0.00,0.00,2.02
E02006607,"East Grinstead West & South",0,257.0,1492.75,27.491,7,0,0.00,0.00,7716.70,0.76
E02006608,"Crawley Down",0,792.0,2293.65,14.225,0,0,0.00,0.00,0.00,0.18
E02006609,"Horsted Keynes",0,1652.0,3523.79,40.626,0,0,0.00,0.00,295.48,3.48
E02006610,"Balcombe & Handcross",0,1741.0,3158.71,58.053,5,0,0.00,0.00,153.84,2.96
E02006611,"Haywards Heath North East",0,645.0,181.08,35.401,0,0,0.00,359.81,2793.73,0
E02006612,"Haywards Heath West",0,645.0,3864.88,128.498,10,0,0.00,11684.19,971.95,1.735
E02006613,"Haywards Heath East",0,315.0,162.01,19.586,0,0,0.00,0.00,0.00,1.24
E02006614,"Haywards Heath South & Cuckfield",0,861.0,3077.76,53.894,0,0,0.00,0.00,0.00,1.12
E02006615,"Burgess Hill West",0,216.0,2094.40,41.992,0,0,0.00,0.00,0.00,5.33
E02006616,"Burgess Hill East",0,216.0,994.75,24.946,0,0,0.00,1042.70,0.00,0.93
E02006617,"Burgess Hill Central",0,216.0,3772.88,33.365,3,0,0.00,4532.76,0.00,16.31
E02006618,"Burgess Hill South",0,216.0,2181.53,18.189,5,0,0.00,8148.41,5020.66,0
E02006619,"Hurstpierpoint & Bolney",0,1361.0,3108.70,63.851,0,0,0.00,0.00,678.96,0.31
E02006620,"Hassocks",0,467.0,1210.24,78.836,3,0,0.00,191.38,0.00,2.6
