MSOA,index-of-transport-accesibility,chargepoints
E02002726,0.226,0.01
E02002727,0.134,0.00
E02002728,0.161,0.04
E02002729,0.148,0.00
E02002730,0.1,0.00
E02002731,0.134,0.00
E02002732,0.398,0.01
E02002733,0.155,0.01
E02002734,0.163,0.00
E02002735,0.09,0.00
E02002736,0.168,0.00
E02002737,0.114,0.00
E02002738,0.217,0.00
E02002739,0.098,0.00
E02002740,0.177,0.00
E02002741,0.16,0.01
E02002742,0.098,0.01
E02002743,0.12,0.00
E02002744,0.102,0.00
E02002745,0.12,0.00
E02002746,0.105,0.00
E02002747,0.17,0.02
E02002748,0.285,0.00
