MSOA,index-of-transport-accesibility,chargepoints
E02004290,0.166,0.00
E02004291,0.257,0.01
E02004292,0.259,0.03
E02004293,0.096,0.01
E02004294,0.072,0.03
E02004295,0.201,0.00
E02004296,0.156,0.01
E02004297,0.17,0.02
E02004298,0.198,0.00
E02004299,0.287,0.05
E02004300,0.17,0.00
E02004301,0.222,0.02
E02004302,0.244,0.04
E02004303,0.202,0.03
E02004304,0.25,0.01
E02004305,0.303,0.00
E02004306,0.494,0.01
E02004307,0.13,0.00
E02004308,0.133,0.01
E02004309,0.137,0.07
E02004310,0.105,0.02
E02004311,0.196,0.00
E02004312,0.203,0.05
E02004313,0.125,0.05
E02004314,0.046,0.17
E02004315,0.116,0.11
E02004316,0.183,0.00
E02004317,0.149,0.00
E02004318,0.159,0.02
E02004319,0.17,0.00
E02004320,0.194,0.00
E02004321,0.102,0.05
E02004322,0.207,0.00
E02004323,0.221,0.02
E02004324,0.203,0.00
E02004325,0.185,0.01
E02004326,0.201,0.00
E02004327,0.126,0.00
E02004328,0.394,0.00
E02004329,0.011,0.00
E02004330,0.134,0.00
E02004331,0.33,0.00
E02004332,0.297,0.00
E02004333,0.158,0.00
E02004334,0.269,0.00
E02004335,0.16,0.04
E02004336,0.215,0.00
E02004337,0.242,0.00
E02004338,0.307,0.00
E02004339,0.353,0.01
E02004340,0.35,0.01
E02004341,0.279,0.00
E02004342,0.221,0.00
E02004343,0.239,0.02
E02004344,0.201,0.04
E02004345,0.395,0.00
E02004346,0.168,0.06
E02004347,0.348,0.01
E02004348,0.094,0.00
E02004349,0.199,0.00
E02004350,0.233,0.01
E02004351,0.186,0.00
E02004352,0.346,0.03
E02004353,0.309,0.00
E02004354,0.259,0.02
E02004355,0.419,0.02
