MSOA,index-of-transport-accesibility,chargepoints
E02000751,0,0.01
E02000752,0,0.00
E02000753,0,0.00
E02000754,0,0.00
E02000755,0,0.00
E02000756,0,0.02
E02000757,0,0.05
E02000758,0,0.00
E02000759,0,0.06
E02000760,0,0.00
E02000762,0,0.01
E02000763,0,0.03
E02000764,0,0.09
E02000765,0,0.01
E02000767,0,0.01
E02000768,0,0.03
E02000769,0,0.00
E02000770,0,0.00
E02000772,0,0.05
E02000773,0,0.01
E02000774,0,0.00
E02000776,0,0.00
E02000777,0,0.06
E02000779,0,0.00
E02000780,0,0.05
E02000781,0,0.00
E02000782,0,0.00
E02000783,0,0.01
E02006800,0,0.01
E02006924,0,0.00
E02006925,0,0.05
