MSOA,index-of-transport-accesibility,chargepoints
E02001708,0.431,0.04
E02001709,0.257,0.01
E02001710,0.208,0.06
E02001711,0.341,0.08
E02001712,0.156,0.01
E02001713,0.115,0.05
E02001714,0.151,0.02
E02001715,0.221,0.01
E02001718,0.374,0.01
E02001719,0,0.01
E02001720,0.139,0.00
E02001721,0.232,0.00
E02001722,0.309,0.00
E02001723,0.292,0.01
E02001724,0.198,0.00
E02001725,0.151,0.01
E02001726,0.294,0.00
E02001727,0.099,0.01
E02001728,0.388,0.01
E02001729,0.124,0.01
E02001730,0.173,0.18
E02001731,0.099,0.60
E02001732,0.328,0.00
E02001733,0.107,0.06
E02001734,0.185,0.00
E02001735,0.07,0.00
E02001736,0.08,0.02
E02001737,0.059,0.00
E02006893,0.252,0.01
