MSOA,index-of-transport-accesibility,chargepoints
W02000168,0,0.01
W02000169,0,0.01
W02000170,0,0.00
W02000171,0,0.02
W02000172,0,0.01
W02000173,0,0.00
W02000174,0,0.00
W02000175,0,0.02
W02000176,0,0.00
W02000177,0,0.02
W02000178,0,0.00
W02000179,0,0.01
W02000180,0,0.00
W02000181,0,0.02
W02000182,0,0.00
W02000183,0,0.02
W02000184,0,0.01
W02000185,0,0.00
W02000186,0,0.00
W02000187,0,0.01
W02000188,0,0.02
W02000189,0,0.00
W02000190,0,0.00
W02000191,0,0.00
W02000192,0,0.02
W02000193,0,0.01
W02000194,0,0.01
W02000195,0,0.00
W02000196,0,0.00
W02000197,0,0.00
W02000198,0,0.00
