E02004149	Pennsylvania & University
E02004150	Mincinglake & Beacon Heath
E02004151	Pinhoe & Whipton North
E02004152	St James's Park & Hoopern
E02004153	Exwick & Foxhayes
E02004154	Heavitree West & Polsloe
E02004155	Heavitree East & Whipton South
E02004156	Central Exeter
E02004157	St Leonard's
E02004158	St Thomas East
E02004159	Middlemoor & Sowton
E02004160	St Thomas West
E02004161	Wonford & St Loye's
E02004162	Alphington & Marsh Barton
E02004163	Countess Wear & Topsham
