MSOA,index-of-transport-accesibility,chargepoints
E02001682,0.167,0.00
E02001683,0.099,0.00
E02001684,0.268,0.05
E02001685,0.17,0.00
E02001686,0.158,0.02
E02001688,0.151,0.08
E02001689,0.175,0.00
E02001690,0.159,0.07
E02001691,0.117,0.06
E02001692,0.109,0.00
E02001693,0.122,0.00
E02001694,0.21,0.01
E02001695,0.338,0.00
E02001696,0.184,0.02
E02001697,0.111,0.00
E02001698,0.129,0.00
E02001699,0.144,0.00
E02001700,0.001,0.00
E02001701,0.143,0.02
E02001702,0.176,0.00
E02001703,0.12,0.00
E02001704,0.351,0.00
E02001705,0.079,0.01
E02001706,0.361,0.02
E02001707,0.208,0.05
E02006841,0.096,0.14
E02006842,0.117,0.00
