MSOA,Name,index-of-transport-accesibility,chargepoints
E02000689,"Wimbledon Park & Durnsford Road",0,10
E02000690,"Wimbledon Common",0,17
E02000691,"Wimbledon Broadway North",0,9
E02000692,"Wimbledon Hill",0,5
E02000693,"Colliers Wood",0,11
E02000694,"South Wimbledon",0,14
E02000695,"Graveney",0,11
E02000696,"Lavender Park",0,6
E02000697,"Wimbledon Broadway South",0,12
E02000698,"Cottenham Park",0,7
E02000699,"Wimbledon Chase",0,10
E02000700,"Merton Church Road & Phipps Bridge",0,7
E02000701,"Mitcham East",0,3
E02000702,"Lonesome",0,3
E02000703,"Merton Park",0,2
E02000704,"Raynes Park",0,13
E02000705,"Rowan Road",0,5
E02000706,"Mitcham West",0,5
E02000707,"Pollards Hill",0,6
E02000708,"West Barnes",0,7
E02000709,"Cannon Hill",0,7
E02000710,"Mitcham South",0,3
E02000711,"Morden Central",0,7
E02000712,"St Helier North",0,6
E02000713,"Lower Morden",0,5
