MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02001374,"Fairfield West & Newsham Park",635,103.0,4240.47,0.356,9,0.00,2299.77,16387.67
E02001375,"Stoneycroft",726,163.0,0.00,4.653,7,0.00,0.00,0.00
E02001376,"Kensington",592,103.0,504.19,0.047,0,0.00,0.00,0.00
E02001377,"Edge Hill",587,289.0,4540.52,0.055,3,0.00,2217.02,0.00
E02001378,"Wavertree East",721,101.0,197.05,6.392,0,0.00,0.00,2427.27
E02001380,"Broad Green",743,184.0,265.15,13.283,1,0.00,0.00,0.00
E02001381,"Wavertree West",625,183.0,2043.50,6.791,0,0.00,0.00,0.00
E02001382,"Childwall East",723,83.0,30.74,22.316,1,0.00,0.00,0.00
E02001383,"Chinatown",485,101.0,1205.71,0.000,20,0.00,0.00,0.00
E02001384,"Wavertree South",623,381.0,947.03,22.958,0,0.00,9038.53,0.00
E02001385,"Toxteth Park",514,123.0,57.81,0.043,0,0.00,0.00,0.00
E02001386,"Belle Vale",691,202.0,1480.03,23.554,0,0.00,8226.13,0.00
E02001387,"Childwall West & Wavertree Green",707,226.0,366.78,24.410,0,0.00,0.00,0.00
E02001388,"Wavertree Penny Lane",644,176.0,614.89,17.236,6,0.00,0.00,0.00
E02001389,"Princes Park",490,147.0,102.86,4.175,0,0.00,0.00,0.00
E02001390,"Toxteth",369,101.0,973.66,0.000,2,0.00,12087.24,0.00
E02001391,"Netherley",755,264.0,0.00,1.929,0,0.00,0.00,0.00
E02001392,"Gateacre",635,192.0,162.23,18.528,0,0.00,1529.72,0.00
E02001393,"Calderstones",656,327.0,754.64,29.037,0,0.00,0.00,0.00
E02001394,"Mossley Hill West & Sefton Park",630,256.0,472.37,33.163,0,0.00,0.00,0.00
E02001395,"Mossley Hill East",633,215.0,873.65,45.735,2,0.00,7594.23,0.00
E02001396,"Dingle",381,269.0,3152.34,4.387,18,0.00,2385.58,0.00
E02001397,"Woolton",605,192.0,702.01,40.201,0,0.00,7804.62,0.00
E02001398,"St Michael's & Otterspool",523,80.0,1158.67,14.294,2,0.00,1071.87,0.00
E02001399,"West Allerton",554,285.0,465.97,15.104,0,0.00,0.00,0.00
E02001400,"Allerton",557,414.0,677.32,15.203,0,0.00,0.00,0.00
E02001401,"Hunts Cross",665,319.0,3250.02,16.614,0,0.00,8562.87,0.00
E02001402,"Aigburth & Grassendale",522,150.0,475.05,23.641,2,0.00,2788.59,7795.46
E02001403,"Garston",565,205.0,266.61,15.848,6,0.00,0.00,0.00
E02001404,"Speke West & Airport",651,137.0,19467.31,12.516,1,0.00,0.00,84566.39
E02001405,"Speke East",725,67.0,1472.20,8.622,1,0.00,7288.84,0.00
E02001406,"Rainford",785,395.0,1076.90,26.845,0,0.00,0.00,0.00
E02001407,"Billinge",760,128.0,446.92,11.695,0,0.00,0.00,0.00
E02001408,"Garswood",818,223.0,250.98,10.881,0,0.00,0.00,47754.72
E02001409,"Moss Bank",853,250.0,219.86,18.616,0,0.00,0.00,0.00
E02001410,"Haydock East",865,670.0,1848.38,19.330,4,86500.81,6686.28,120719.93
E02001411,"Haydock West",856,139.0,197.41,10.438,0,0.00,1367.67,0.00
E02001412,"Windle & Denton's Green",800,250.0,835.32,12.915,0,0.00,0.00,0.00
E02001413,"Blackbrook",818,139.0,500.53,16.473,0,0.00,2421.18,0.00
E02001414,"Eccleston",794,303.0,130.89,7.102,0,0.00,0.00,0.00
E02001415,"Earlestown North",845,89.0,250.48,16.203,1,0.00,0.00,0.00
E02001416,"Broad Oak",786,267.0,522.80,9.455,0,0.00,0.00,0.00
E02001417,"Town Centre West",780,378.0,4939.88,33.631,1,0.00,16675.24,0.00
E02001418,"Earlestown South",797,807.0,1212.34,36.320,2,0.00,3163.93,0.00
E02001419,"Town Centre East & Fingerpost",784,239.0,3735.41,24.783,6,0.00,6195.02,0.00
E02001420,"Newton-le-Willows",790,620.0,2329.82,27.379,5,0.00,1580.28,0.00
E02001421,"West Park",757,239.0,128.67,11.425,2,0.00,0.00,0.00
E02001422,"Derbyshire Hill",759,128.0,216.41,9.668,0,0.00,0.00,0.00
E02001423,"Eccleston Park",734,400.0,311.55,10.712,0,0.00,0.00,0.00
E02001424,"Thatto Heath & Lea Green",757,347.0,6023.90,25.441,5,0.00,15020.54,58317.01
E02001425,"Sutton Leach",738,128.0,865.52,16.564,0,0.00,1643.81,0.00
E02001426,"Rainhill North",752,236.0,286.52,15.056,0,0.00,773.65,0.00
E02001427,"Bold & Clock Face",751,1047.0,953.95,22.963,0,0.00,0.00,0.00
E02001428,"Rainhill South",794,108.0,273.72,17.993,0,0.00,0.00,0.00
E02001429,"Crossens",247,163.0,187.25,14.226,0,0.00,0.00,0.00
E02001430,"Marshside",229,163.0,527.33,13.549,0,0.00,262.47,0.00
E02001431,"Hesketh Park",222,163.0,222.15,15.327,0,0.00,0.00,0.00
E02001432,"Southport Waterfront",224,427.0,6276.74,46.966,1,0.00,9170.63,0.00
E02001433,"Southport High Park",215,427.0,154.16,12.707,0,0.00,0.00,0.00
E02001434,"Meols Cop",230,427.0,1376.21,14.903,0,0.00,1693.64,0.00
E02001435,"Southport South",227,264.0,701.63,18.578,0,0.00,1509.29,0.00
E02001436,"Southport Kew",241,427.0,3235.23,68.631,6,0.00,10656.32,0.00
E02001437,"Birkdale",237,264.0,3117.68,28.002,0,0.00,2201.20,0.00
E02001438,"Hillside",242,264.0,287.34,13.462,0,0.00,0.00,0.00
E02001439,"Ainsdale East",324,264.0,511.74,13.103,0,0.00,0.00,0.00
E02001440,"Ainsdale West",340,264.0,916.35,15.616,0,0.00,0.00,0.00
E02001441,"Formby West & Freshfield North",364,132.0,1028.62,27.471,1,0.00,0.00,0.00
E02001442,"Formby Central & Freshfield South",440,155.0,1297.39,48.027,0,0.00,0.00,0.00
E02001443,"Formby South West",409,132.0,954.57,21.435,0,0.00,0.00,0.00
E02001444,"Formby South East & Ince Blundell",515,294.0,897.82,27.728,2,0.00,9421.93,0.00
E02001445,"Maghull North West & Lydiate",665,189.0,0.00,24.600,0,0.00,0.00,0.00
E02001446,"Maghull North East",736,189.0,287.03,19.159,0,0.00,512.83,0.00
E02001447,"Maghull South East",717,189.0,385.84,20.342,0,0.00,0.00,0.00
E02001448,"Maghull South West",741,328.0,298.73,32.650,2,0.00,2336.53,0.00
E02001449,"Hightown & Thornton",685,266.0,444.37,31.363,0,0.00,10637.84,0.00
E02001450,"Blundellsands",484,139.0,773.50,31.953,0,0.00,12.16,0.00
E02001451,"Netherton North",687,28.0,100.00,5.868,0,0.00,0.00,0.00
E02001452,"Ford",669,190.0,196.09,11.148,0,0.00,0.00,0.00
E02001453,"Crosby East",549,164.0,221.53,25.323,0,0.00,2229.75,0.00
E02001454,"Aintree East & Waddicar",773,282.0,408.03,17.873,0,0.00,0.00,0.00
E02001455,"Aintree West & Old Roan",760,152.0,1642.07,11.027,5,0.00,103.22,0.00
E02001456,"Brighton le Sands & Crosby West",450,164.0,339.05,18.376,1,0.00,699.36,0.00
E02001457,"Netherton South",705,28.0,2207.55,9.426,0,0.00,1380.80,11891.97
E02001458,"Waterloo",444,164.0,279.93,28.561,0,0.00,1802.85,0.00
E02001459,"Litherland North",597,23.0,36.08,5.139,0,0.00,0.00,0.00
E02001460,"Seaforth North",470,48.0,251.34,8.967,2,0.00,0.00,0.00
E02001461,"Litherland South",641,130.0,93.76,6.635,0,0.00,0.00,0.00
E02001462,"Seaforth South",500,102.0,685.79,9.498,0,0.00,8994.99,0.00
E02001463,"Orrell",600,226.0,468.87,7.901,1,0.00,0.00,0.00
E02001464,"Bootle North",485,102.0,332.16,4.320,0,0.00,1907.11,0.00
E02001465,"Bootle South",472,130.0,2663.15,12.216,0,0.00,7233.90,25590.83
E02001466,"Bootle East",563,79.0,1047.29,4.502,0,0.00,0.00,0.00
E02001467,"New Brighton",257,87.0,1511.10,13.389,8,0.00,5916.60,0.00
E02001468,"Wallasey East",275,122.0,55.94,10.558,4,0.00,0.00,0.00
E02001469,"Wallasey Village",359,122.0,870.30,12.017,0,0.00,0.00,0.00
E02001470,"Wallasey Central",323,122.0,615.07,10.753,1,0.00,7501.95,0.00
E02001471,"Egremont",284,122.0,46.62,3.114,3,0.00,0.00,0.00
E02001472,"Leasowe",368,218.0,1297.21,12.043,0,0.00,0.00,0.00
E02001473,"Liscard",347,122.0,941.62,12.280,4,0.00,0.00,0.00
E02001474,"Seacombe",300,103.0,2603.76,3.346,4,0.00,0.00,0.00
E02001475,"Leasowe South & Moreton East",330,96.0,1263.11,12.316,0,0.00,0.00,0.00
E02001476,"Poulton",362,103.0,502.31,2.764,1,0.00,0.00,0.00
E02001477,"Bidston Hill",350,325.0,2668.78,11.445,5,0.00,9443.60,0.00
E02001478,"Moreton West",374,188.0,531.27,20.657,1,0.00,660.13,0.00
E02001479,"Great Meols",271,305.0,532.65,21.438,0,0.00,0.00,839.01
E02001480,"Hoylake",197,209.0,649.47,52.555,13,0.00,489.54,0.00
E02001481,"Claughton North",311,290.0,170.40,14.640,2,0.00,0.00,0.00
E02001482,"Birkenhead Central",294,345.0,8800.01,11.830,4,0.00,0.00,2107.62
E02001483,"Saughall Massie",378,188.0,403.32,14.461,0,0.00,0.00,0.00
E02001484,"Upton West",420,92.0,1981.26,27.254,0,0.00,0.00,0.00
E02001485,"Noctorum North & Upton East",399,314.0,339.10,16.545,0,0.00,0.00,0.00
E02001486,"Claughton South & Oxton North",317,290.0,151.71,25.332,0,0.00,0.00,0.00
E02001487,"Birkenhead South",314,123.0,2021.25,8.449,0,0.00,0.00,5054.09
E02001488,"Oxton South",333,345.0,339.73,12.617,0,0.00,2429.41,0.00
E02001489,"Greasby",316,233.0,671.78,22.014,0,0.00,0.00,0.00
E02001490,"Noctorum South",417,277.0,1280.92,26.411,0,0.00,2632.27,0.00
E02001491,"Woodchurch",419,92.0,2655.19,15.532,9,0.00,6019.88,0.00
E02001492,"West Kirby",215,209.0,929.30,49.509,1,0.00,4591.22,0.00
E02001493,"Tranmere",325,123.0,645.97,9.507,0,0.00,0.00,0.00
E02001494,"Caldy & Newton",228,141.0,549.65,48.147,0,0.00,343.78,0.00
E02001495,"Egerton Park",375,154.0,148.28,7.504,0,0.00,0.00,0.00
E02001496,"Prenton",402,277.0,0.00,11.105,2,0.00,0.00,0.00
E02001497,"Bebington New Ferry",322,248.0,733.26,29.917,0,0.00,1612.63,0.00
E02001498,"Woodhey",402,154.0,665.84,18.610,0,0.00,0.00,0.00
E02001499,"Thursaston & Irby",302,323.0,1088.06,26.560,0,0.00,0.00,0.00
E02001500,"Pensby & Thingwall",325,311.0,588.03,30.210,0,0.00,0.00,0.00
E02001501,"Higher Bebington",486,189.0,258.21,21.744,0,0.00,0.00,0.00
E02001502,"Lower Bebington & Bromborough Pool",415,272.0,3099.85,26.177,0,0.00,2044.68,59710.52
E02001503,"Heswall",307,219.0,1484.46,62.368,2,0.00,5354.51,0.00
E02001504,"Poulton",449,363.0,5762.11,24.917,0,0.00,0.00,0.00
E02001505,"Bromborough North",415,162.0,2433.25,18.663,8,0.00,9835.31,36500.59
E02001506,"Gayton & Lower Heswall",328,354.0,379.44,60.904,0,0.00,717.91,0.00
E02001507,"Bromborough South",482,193.0,508.15,14.042,0,0.00,0.00,0.00
E02001508,"Eastham",558,203.0,853.41,17.403,0,0.00,0.00,0.00
E02002574,"Farnworth",769,559.0,754.26,22.362,0,0.00,2122.01,3377.49
E02002575,"Upton Rocks",725,451.0,465.58,18.322,0,0.00,0.00,0.00
E02002576,"Halton View",757,451.0,336.94,22.422,0,0.00,0.00,7311.65
E02002577,"Hough Green",712,451.0,971.54,15.478,0,0.00,0.00,0.00
E02002578,"Victoria Park",725,451.0,1128.42,16.314,0,0.00,0.00,0.00
E02002579,"Ditton",726,451.0,826.01,15.143,0,0.00,1783.32,0.00
E02002580,"Widnes Riverside",755,451.0,6235.19,50.867,20,0.00,22048.81,38702.15
E02002581,"Hale Bank",741,518.0,1276.15,19.017,0,0.00,0.00,0.00
E02002582,"Sandymoor",711,512.0,4964.16,35.177,2,75269.45,0.00,402839.68
E02002583,"Halton Castlefield",725,199.0,3136.91,14.086,0,0.00,0.00,11029.01
E02002584,"Runcorn Halton Road",718,199.0,443.65,12.587,2,0.00,0.00,8318.42
E02002585,"Runcorn Town & Westfield",702,199.0,5338.39,35.215,11,0.00,1760.83,59563.81
E02002586,"Grange",733,199.0,4302.54,15.884,1,0.00,12649.77,0.00
E02002587,"Norton",679,199.0,1246.31,8.467,0,0.00,2679.83,0.00
E02002588,"Halton Lea & Brookvale",709,199.0,1808.43,25.999,0,0.00,0.00,0.00
E02002589,"Beechwood & Heath",744,199.0,842.83,13.112,0,0.00,0.00,0.00
E02006932,"Central & Islington",489,232.0,4053.78,0.000,2,0.00,1458.52,0.00
E02006933,"Albert Dock & Queen's Dock",359,189.0,6231.53,0.000,3,0.00,0.00,2760.69
E02006934,"Pier Head",367,103.0,4631.91,0.000,6,0.00,0.00,0.00
