MSOA,index-of-transport-accesibility,chargepoints
E02000807,0,0.02
E02000808,0,0.10
E02000809,0,0.06
E02000810,0,0.11
E02000812,0,0.10
E02000813,0,0.10
E02000814,0,0.03
E02000815,0,0.02
E02000816,0,0.05
E02000817,0,0.02
E02000818,0,0.06
E02000819,0,0.01
E02000820,0,0.09
E02000821,0,0.05
E02000822,0,0.03
E02000823,0,0.02
E02000824,0,0.03
E02000825,0,0.02
E02000826,0,0.06
E02000827,0,0.09
E02000828,0,0.05
E02000829,0,0.07
E02000830,0,0.13
E02000831,0,0.05
E02000832,0,0.07
E02000833,0,0.04
E02000834,0,0.16
E02000835,0,0.07
E02000836,0,0.20
E02000837,0,0.26
E02000838,0,0.05
E02000839,0,0.04
E02006802,0,0.06
