MSOA,index-of-transport-accesibility,chargepoints
E02002330,0.102,0.00
E02002331,0.327,0.04
E02002332,0.195,0.01
E02002333,0.19,0.03
E02002334,0.184,0.01
E02002335,0.179,0.01
E02002336,0.225,0.00
E02002337,0.112,0.00
E02002338,0.12,0.01
E02002339,0.113,0.03
E02002340,0.156,0.00
E02002341,0.131,0.01
E02002342,0.15,0.00
E02002343,0.105,0.00
E02002344,0.158,0.00
E02002345,0.209,0.01
E02002346,0.129,0.00
E02002347,0.163,0.00
E02002348,0.158,0.00
E02002349,0.123,0.00
E02002350,0.152,0.02
E02002351,0.136,0.00
E02002352,0.147,0.00
E02002353,0.132,0.00
E02002354,0.133,0.00
E02002356,0.167,0.01
E02002357,0.129,0.00
E02002358,0.111,0.00
E02002359,0.151,0.00
E02002360,0.123,0.00
E02002361,0.123,0.01
E02002362,0.08,0.00
E02002363,0.001,0.02
E02002364,0.117,0.00
E02002366,0.103,0.00
E02002367,0.103,0.00
E02002368,0.167,0.01
E02002369,0.086,0.00
E02002370,0.082,0.00
E02002371,0.103,0.00
E02002373,0.083,0.01
E02002374,0.085,0.02
E02002375,0.073,0.00
E02002376,0.105,0.01
E02002377,0.102,0.00
E02002379,0.084,0.00
E02002380,0.096,0.00
E02002381,0.113,0.01
E02002382,0.089,0.01
E02002383,0.062,0.00
E02002384,0.079,0.02
E02002385,0.074,0.01
E02002386,0.08,0.00
E02002387,0.14,0.00
E02002388,0.085,0.00
E02002389,0.091,0.01
E02002390,0.082,0.01
E02002391,0.101,0.01
E02002392,0.076,0.05
E02002393,0.064,0.01
E02002394,0.079,0.01
E02002395,0.168,0.00
E02002396,0.144,0.00
E02002397,0.129,0.00
E02002398,0.069,0.00
E02002399,0.083,0.00
E02002400,0.095,0.01
E02002401,0.051,0.04
E02002402,0.12,0.03
E02002403,0.116,0.04
E02002404,0.11,0.00
E02002405,0.097,0.02
E02002406,0.136,0.00
E02002407,0.145,0.00
E02002408,0.115,0.01
E02002409,0.167,0.00
E02002410,0.103,0.01
E02002411,0.18,0.01
E02002412,0.139,0.01
E02002414,0.074,0.01
E02002415,0.109,0.00
E02002416,0.143,0.01
E02002417,0.161,0.00
E02002418,0.109,0.00
E02002419,0.084,0.06
E02002420,0.115,0.00
E02002421,0.132,0.00
E02002422,0.07,0.04
E02002423,0.09,0.10
E02002424,0.117,0.00
E02002425,0.194,0.00
E02002426,0.115,0.01
E02002427,0.088,0.03
E02002428,0.068,0.02
E02002429,0.055,0.00
E02002430,0.074,0.00
E02002431,0.079,0.01
E02002432,0.095,0.00
E02002433,0.096,0.04
E02002434,0.111,0.00
E02002435,0.11,0.02
E02002436,0.151,0.00
E02002437,0.186,0.00
E02006852,0.116,0.03
E02006861,0.066,0.00
E02006875,0.077,0.25
E02006876,0.159,0.02
