MSOA,index-of-transport-accesibility,chargepoints
E02000464,0,0.00
E02000465,0,0.01
E02000466,0,0.00
E02000467,0,0.00
E02000468,0,0.00
E02000469,0,0.00
E02000470,0,0.05
E02000471,0,0.01
E02000472,0,0.00
E02000473,0,0.00
E02000474,0,0.00
E02000475,0,0.01
E02000476,0,0.01
E02000477,0,0.00
E02000478,0,0.00
E02000479,0,0.01
E02000480,0,0.02
E02000481,0,0.00
E02000482,0,0.00
E02000483,0,0.01
E02000484,0,0.00
E02000485,0,0.01
E02000486,0,0.01
E02000487,0,0.00
E02000488,0,0.01
E02000489,0,0.00
E02000490,0,0.00
E02000491,0,0.04
E02000492,0,0.00
E02000493,0,0.02
