MSOA,Name,index-of-transport-accessibility,chargepoints
S02001738,"?",0,0
S02001739,"?",0,0
S02001740,"?",0,0
S02001741,"?",0,0
S02001742,"?",0,0
S02001743,"?",0,0
S02001744,"?",0,0
S02001745,"?",0,0
S02001746,"?",0,0
S02001747,"?",0,0
S02001748,"?",0,0
S02001749,"?",0,0
S02001750,"?",0,0
S02001751,"?",0,0
S02001752,"?",0,0
S02001753,"?",0,0
S02001754,"?",0,0
S02001755,"?",0,0
S02001756,"?",0,0
S02001757,"?",0,0
S02001758,"?",0,0
S02001759,"?",0,0
S02001760,"?",0,0
S02001761,"?",0,0
S02001762,"?",0,0
S02001763,"?",0,0
S02001764,"?",0,0
S02001765,"?",0,0
S02001766,"?",0,0
S02001767,"?",0,0
S02001768,"?",0,0
S02001769,"?",0,0
S02001770,"?",0,0
S02001771,"?",0,0
S02001772,"?",0,0
S02001773,"?",0,0
S02001774,"?",0,0
S02001775,"?",0,0
S02001776,"?",0,0
S02001777,"?",0,0
S02001778,"?",0,0
S02001779,"?",0,0
S02001780,"?",0,0
S02001781,"?",0,0
S02001782,"?",0,0
S02001783,"?",0,0
S02001784,"?",0,0
S02001785,"?",0,0
S02001786,"?",0,0
S02001787,"?",0,0
S02001788,"?",0,0
S02001789,"?",0,0
S02001790,"?",0,0
S02001791,"?",0,0
S02001792,"?",0,0
S02001793,"?",0,0
S02001794,"?",0,0
S02001795,"?",0,0
S02001796,"?",0,0
S02001797,"?",0,0
S02001798,"?",0,0
S02001799,"?",0,0
S02001800,"?",0,0
S02001801,"?",0,0
S02001802,"?",0,0
S02001803,"?",0,0
S02001804,"?",0,0
S02001805,"?",0,0
S02001806,"?",0,0
S02001807,"?",0,0
S02001808,"?",0,0
S02001809,"?",0,0
S02001810,"?",0,0
S02001811,"?",0,0
S02001812,"?",0,0
S02001813,"?",0,0
S02001814,"?",0,0
S02001815,"?",0,0
S02001816,"?",0,0
S02001817,"?",0,0
S02001818,"?",0,0
S02001819,"?",0,0
S02001820,"?",0,0
S02001821,"?",0,0
S02001822,"?",0,0
S02001823,"?",0,0
S02001824,"?",0,0
S02001825,"?",0,0
S02001826,"?",0,0
S02001827,"?",0,0
S02001828,"?",0,0
S02001829,"?",0,0
S02001830,"?",0,0
S02001831,"?",0,0
S02001832,"?",0,0
S02001833,"?",0,0
S02001834,"?",0,0
S02001835,"?",0,0
S02001836,"?",0,0
S02001837,"?",0,0
S02001838,"?",0,0
S02001839,"?",0,0
S02001840,"?",0,0
S02001841,"?",0,0
