MSOA,index-of-transport-accesibility,chargepoints
E02000238,0,0.00
E02000239,0,0.01
E02000240,0,0.00
E02000241,0,0.00
E02000242,0,0.00
E02000243,0,0.06
E02000244,0,0.03
E02000245,0,0.02
E02000246,0,0.01
E02000247,0,0.00
E02000248,0,0.10
E02000249,0,0.00
E02000250,0,0.02
E02000251,0,0.00
E02000252,0,0.05
E02000253,0,0.00
E02000254,0,0.02
E02000255,0,0.01
E02000256,0,0.02
E02000257,0,0.04
E02000258,0,0.03
E02000259,0,0.02
E02000260,0,0.03
E02000261,0,0.02
E02000262,0,0.05
E02000263,0,0.00
E02000264,0,0.06
E02000265,0,0.05
E02000266,0,0.12
E02000267,0,0.01
E02000268,0,0.04
E02000269,0,0.06
E02000270,0,0.02
E02000271,0,0.13
E02000272,0,0.08
E02000274,0,0.02
E02000275,0,0.01
E02000276,0,0.00
E02006791,0,0.07
