MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse
E02005978,"Dean Court",0,1195.0,963.24,31.955,0,0.00,0.00,0.00
E02005979,"Botley & Kennington",0,675.0,2183.59,32.240,0,0.00,97.81,0.00
E02005980,"Radley",0,780.0,2398.94,56.189,0,0.00,0.00,0.00
E02005981,"Abingdon Northcourt & Peachcroft",0,389.0,326.13,24.910,0,0.00,0.00,20.75
E02005982,"Abingdon Audlett Drive & Farm Road",0,389.0,650.63,19.143,0,0.00,0.00,394.95
E02005983,"Abingdon Town & West",0,594.0,3375.21,128.604,2,0.00,3605.44,0.00
E02005984,"Kingston Bagpuize & East Hanney",0,563.0,2320.04,57.301,0,0.00,0.00,0.00
E02005985,"Abingdon South",0,389.0,1483.49,23.560,2,0.00,9276.91,0.00
E02005986,"Faringdon & Stanford",0,133.0,954.51,49.606,4,0.00,6456.81,3890.13
E02005987,"Sutton Courtenay",0,1193.0,5149.87,43.791,6,56095.73,306.96,95472.09
E02005988,"Grove",0,225.0,1591.75,31.026,0,0.00,537.15,0.00
E02005991,"Wantage Town",0,225.0,1128.04,57.955,0,0.00,6126.48,0.00
E02005992,"South Wantage",0,988.0,13877.23,72.854,12,35352.60,1099.06,63944.78
E02006886,"Shrivenham",0,1181.0,5503.36,74.228,2,0.00,209.76,566.30
