MSOA,index-of-transport-accesibility,chargepoints
E02000494,0,0.01
E02000495,0,0.02
E02000496,0,0.00
E02000497,0,0.01
E02000498,0,0.00
E02000499,0,0.00
E02000500,0,0.01
E02000501,0,0.00
E02000502,0,0.01
E02000503,0,0.01
E02000504,0,0.01
E02000506,0,0.01
E02000507,0,0.00
E02000508,0,0.05
E02000509,0,0.08
E02000510,0,0.02
E02000511,0,0.01
E02000512,0,0.00
E02000513,0,0.01
E02000514,0,0.01
E02000515,0,0.02
E02000516,0,0.00
E02000517,0,0.00
E02000518,0,0.00
E02000519,0,0.02
E02000520,0,0.03
E02000521,0,0.00
E02000522,0,0.02
E02000523,0,0.12
E02000524,0,0.37
E02000525,0,0.10
E02006796,0,0.03
