MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
W02000367,"Lisvane",0,620.0,0.00,23.145,0,0.00
W02000368,"Thornhill",0,360.0,0.00,15.317,0,0.00
W02000369,"Pontprennau",0,777.0,0.00,30.808,2,0.00
W02000370,"Rhiwbina & Pant-mawr",0,532.0,0.00,20.171,0,0.00
W02000371,"Llanishen",0,360.0,0.00,97.431,3,1649.99
W02000372,"Radyr",0,129.0,0.00,50.638,0,0.00
W02000373,"Llanrumney North",0,157.0,0.00,21.786,0,0.00
W02000374,"Cyncoed North",0,620.0,0.00,21.057,0,0.00
W02000375,"Pentwyn",0,417.0,0.00,17.944,0,0.00
W02000376,"Tongwynlais & Coryton",0,661.0,0.00,28.349,2,0.00
W02000377,"Pwll-mawr & St Mellons East",0,417.0,0.00,50.058,3,148197.01
W02000378,"Rhiwbina Village",0,360.0,0.00,23.684,0,0.00
W02000379,"St Mellons West",0,157.0,0.00,8.349,0,0.00
W02000380,"Creigiau",0,504.0,0.00,29.879,1,0.00
W02000381,"Llanrumney South",0,157.0,0.00,20.808,0,0.00
W02000382,"Trowbridge",0,417.0,0.00,16.086,0,0.00
W02000383,"Llanedeyrn",0,417.0,0.00,22.836,0,0.00
W02000384,"Heath",0,620.0,0.00,18.832,3,0.00
W02000385,"Cyncoed South & Roath Park",0,417.0,0.00,24.174,0,0.00
W02000386,"Whitchurch",0,384.0,0.00,31.484,0,0.00
W02000387,"Birchgrove",0,360.0,0.00,17.870,0,0.00
W02000388,"Rumney",0,157.0,0.00,17.025,0,0.00
W02000389,"Llandaf North",0,581.0,0.00,23.520,0,0.00
W02000390,"Pen-y-lan North",0,417.0,0.00,29.211,0,0.00
W02000391,"Gabalfa",0,360.0,0.00,19.430,0,0.00
W02000392,"Llandaf & Danescourt",0,255.0,0.00,20.805,1,0.00
W02000393,"Fairwater North",0,231.0,0.00,12.254,0,0.00
W02000394,"Cathays North",0,459.0,0.00,2.599,0,0.00
W02000395,"Pen-y-lan South",0,540.0,0.00,32.563,2,0.00
W02000396,"Roath",0,359.0,0.00,4.278,1,0.00
W02000397,"Fairwater South",0,255.0,0.00,14.105,0,0.00
W02000398,"Cathays South & Bute Park",0,783.0,0.00,0.839,13,0.00
W02000399,"Plasnewydd",0,326.0,0.00,2.254,0,0.00
W02000400,"Pontcanna",0,458.0,0.00,3.153,3,0.00
W02000401,"Victoria Park",0,458.0,0.00,11.706,2,0.00
W02000402,"Adamsdown",0,451.0,0.00,2.602,4,0.00
W02000403,"Tremorfa & Pengam",0,123.0,0.00,1.403,0,0.00
W02000404,"Splott",0,123.0,0.00,1.853,0,1935.85
W02000405,"Ely East",0,231.0,0.00,12.254,0,0.00
W02000406,"Canton",0,458.0,0.00,38.534,2,0.00
W02000407,"Caerau East",0,255.0,0.00,11.549,0,0.00
W02000408,"South Riverside",0,326.0,0.00,2.394,1,0.00
W02000409,"Ely West",0,231.0,0.00,9.521,0,0.00
W02000410,"Grangetown North",0,324.0,0.00,2.279,2,0.00
W02000411,"Caerau West",0,231.0,0.00,11.725,0,0.00
W02000412,"Grangetown South",0,423.0,0.00,11.194,1,0.00
W02000422,"Cardiff Bay",0,423.0,0.00,1.642,6,0.00
W02000423,"Butetown",0,423.0,0.00,0.336,0,0.00
