MSOA,index-of-transport-accesibility,chargepoints
E02000984,0.07,0.00
E02000985,0.074,0.00
E02000986,0.079,0.00
E02000987,0.14,0.02
E02000988,0.121,0.00
E02000989,0.107,0.00
E02000990,0.114,0.03
E02000991,0.092,0.00
E02000992,0.134,0.00
E02000993,0.127,0.00
E02000994,0.089,0.00
E02000995,0.124,0.00
E02000996,0.098,0.00
E02000997,0.12,0.00
E02000998,0.089,0.00
E02000999,0.087,0.13
E02001000,0.075,0.00
E02001001,0.103,0.00
E02001002,0.079,0.01
E02001003,0.125,0.00
E02001004,0.069,0.03
E02001005,0.094,0.00
E02001006,0.082,0.00
E02001007,0.08,0.01
E02001008,0.087,0.00
E02001009,0.14,0.00
E02001010,0.114,0.00
E02001011,0.148,0.01
E02001012,0.107,0.00
E02001013,0.14,0.00
E02001014,0.105,0.01
E02001015,0.126,0.00
E02001016,0.099,0.00
E02001017,0.152,0.00
E02001018,0.055,0.00
