MSOA,index-of-transport-accesibility,chargepoints
E02003794,0.079,0.02
E02003795,0.19,0.02
E02003796,0.176,0.00
E02003797,0.131,0.00
E02003798,0.091,0.00
E02003799,0.08,0.00
E02003800,0.347,0.01
E02003801,0.261,0.00
E02003802,0.075,0.02
E02003803,0.095,0.03
E02003804,0.188,0.00
E02003805,0.137,0.00
E02003806,0.11,0.00
E02003807,0.078,0.00
E02003808,0.119,0.00
E02003809,0.227,0.03
E02003810,0.306,0.00
E02003841,0.134,0.01
E02003842,0.178,0.02
E02003843,0.19,0.00
E02003844,0.132,0.00
E02003845,0.211,0.05
E02003846,0.136,0.00
E02003847,0.164,0.00
E02003848,0.135,0.01
E02003849,0.135,0.01
E02003850,0.15,0.00
E02003851,0.204,0.01
E02003852,0.245,0.00
E02003874,0.198,0.01
E02003875,0.491,0.00
E02003876,0.255,0.00
E02003877,0.163,0.01
E02003878,0.542,0.01
E02003879,0.155,0.03
E02003880,0.317,0.00
E02003881,0.116,0.01
E02003882,0.439,0.00
E02003883,0.307,0.00
E02003884,0.421,0.00
E02003885,0.24,0.00
E02003886,0.09,0.00
E02003887,0.241,0.00
E02003888,0.26,0.00
E02003889,0.193,0.00
E02003890,0.142,0.00
E02003891,0.201,0.01
