MSOA,Name,index-of-transport-accesibility,chargepoints
E02005906,"East Bridgford & Aslockton",0,0
E02005907,"Bingham",0,4
E02005908,"Radcliffe on Trent & Shelford",0,4
E02005909,"Lady Bay",0,1
E02005910,"West Bridgford",0,3
E02005911,"Gamston & Holme Pierrepoint",0,1
E02005912,"Compton Acres & Lutterell",0,10
E02005913,"Edwalton",0,0
E02005914,"Cotgrave",0,0
E02005915,"Cropwell Bishop",0,1
E02005916,"Ruddington",0,1
E02005917,"Keyworth North",0,4
E02005918,"Keyworth South",0,0
E02005919,"Ratcliffe",0,12
E02005920,"East Leake",0,0
